Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Jackie Stewart,STE,March Ford,90,2:10:58.200,9
2,11,Bruce McLaren,MCL,McLaren Ford,89,+1 lap,6
3,18,Mario Andretti,AND,March Ford,89,+1 lap,4
4,6,Graham Hill,HIL,Lotus Ford,89,+1 lap,3
5,16,Johnny Servoz-Gavin,SER,March Ford,88,+2 laps,2
NC,8,John Surtees,SUR,,76,DNF,0
NC,7,Jack Brabham,BRA,Brabham Ford,61,DNF,0
NC,24,Rolf Stommelen,STO,Brabham Ford,43,DNF,0
NC,22,Henri Pescarolo,PES,Matra,33,DNF,0
NC,4,Jean-Pierre Beltoise,BEL,Matra,31,DNF,0
NC,9,Chris Amon,AMO,March Ford,10,DNF,0
NC,5,Denny Hulme,HUL,McLaren Ford,10,DNF,0
NC,3,Jochen Rindt,RIN,Lotus Ford,9,DNF,0
NC,10,Pedro Rodriguez,ROD,BRM,4,DNF,0
NC,2,Jacky Ickx,ICK,Ferrari,0,DNF,0
NC,15,Jackie Oliver,OLI,BRM,0,DNF,0
