Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,07 Mar 1970,Jack Brabham,BRA,Brabham Ford,80,1:49:34.600
spain,19 Apr 1970,Jackie Stewart,STE,March Ford,90,2:10:58.200
monaco,10 May 1970,Jochen Rindt,RIN,Lotus Ford,80,1:54:36.600
belgium,07 Jun 1970,Pedro Rodriguez,ROD,BRM,28,1:38:09.900
netherlands,21 Jun 1970,Jochen Rindt,RIN,Lotus Ford,80,1:50:43.410
france,05 Jul 1970,Jochen Rindt,RIN,Lotus Ford,38,1:55:57.000
great-britain,18 Jul 1970,Jochen Rindt,RIN,Lotus Ford,80,1:57:02.000
germany,02 Aug 1970,Jochen Rindt,RIN,Lotus Ford,50,1:42:00.300
austria,16 Aug 1970,Jacky Ickx,ICK,Ferrari,60,1:42:17.320
italy,06 Sep 1970,Clay Regazzoni,REG,Ferrari,68,1:39:06.880
canada,20 Sep 1970,Jacky Ickx,ICK,Ferrari,90,2:21:18.400
united-states,04 Oct 1970,Emerson Fittipaldi,FIT,Lotus Ford,108,1:57:32.790
mexico,25 Oct 1970,Jacky Ickx,ICK,Ferrari,65,1:53:28.360
