Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:31.713,3
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:32.412,3
3,21,Cristiano da Matta,DAM,Toyota,1:32.419,3
4,20,Olivier Panis,PAN,Toyota,1:32.862,3
5,8,Fernando Alonso,ALO,Renault,1:33.044,3
6,14,Mark Webber,WEB,Jaguar Cosworth,1:33.106,3
7,5,David Coulthard,COU,McLaren Mercedes,1:33.137,3
8,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:33.272,3
9,17,Jenson Button,BUT,BAR Honda,1:33.474,3
10,15,Justin Wilson,WIL,Jaguar Cosworth,1:33.558,3
11,9,Nick Heidfeld,HEI,Sauber Petronas,1:33.632,3
12,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:33.896,3
13,16,Takuma Sato,SAT,BAR Honda,1:33.924,3
14,1,Michael Schumacher,MSC,Ferrari,1:34.302,3
15,12,Ralph Firman,FIR,Jordan Ford,1:34.771,3
16,11,Giancarlo Fisichella,FIS,Jordan Ford,1:34.912,3
17,19,Jos Verstappen,VER,Minardi Cosworth,1:34.975,3
18,18,Nicolas Kiesa,KIE,Minardi Cosworth,1:37.226,3
19,4,Ralf Schumacher,RSC,Williams BMW,No Time,2
20,7,Jarno Trulli,TRU,Renault,No Time,1
