Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:21.209,3
2,7,Jarno Trulli,TRU,Renault,1:21.381,3
3,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:21.695,3
4,4,Ralf Schumacher,RSC,Williams BMW,1:21.727,3
5,1,Michael Schumacher,MSC,Ferrari,1:21.867,3
6,21,Cristiano da Matta,DAM,Toyota,1:22.081,3
7,3,Juan Pablo Montoya,MOY,Williams BMW,1:22.214,3
8,8,Fernando Alonso,ALO,Renault,1:22.404,3
9,16,Jacques Villeneuve,VIL,BAR Honda,1:22.591,3
10,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:22.634,3
11,14,Mark Webber,WEB,Jaguar Cosworth,1:22.647,3
12,5,David Coulthard,COU,McLaren Mercedes,1:22.811,3
13,20,Olivier Panis,PAN,Toyota,1:23.042,3
14,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:23.187,3
15,11,Giancarlo Fisichella,FIS,Jordan Ford,1:23.574,3
16,9,Nick Heidfeld,HEI,Sauber Petronas,1:23.844,3
17,12,Ralph Firman,FIR,Jordan Ford,1:24.385,3
18,18,Justin Wilson,WIL,Minardi Cosworth,1:25.468,3
19,19,Jos Verstappen,VER,Minardi Cosworth,1:25.759,3
20,17,Jenson Button,BUT,BAR Honda,No Time,2
