Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:20.963,3
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:21.014,3
3,2,Rubens Barrichello,BAR,Ferrari,1:21.242,3
4,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:21.466,3
5,4,Marc Gene,GEN,Williams BMW,1:21.834,3
6,7,Jarno Trulli,TRU,Renault,1:21.944,3
7,17,Jenson Button,BUT,BAR Honda,1:22.301,3
8,5,David Coulthard,COU,McLaren Mercedes,1:22.471,3
9,20,Olivier Panis,PAN,Toyota,1:22.488,3
10,16,Jacques Villeneuve,VIL,BAR Honda,1:22.717,3
11,14,Mark Webber,WEB,Jaguar Cosworth,1:22.754,3
12,21,Cristiano da Matta,DAM,Toyota,1:22.914,3
13,11,Giancarlo Fisichella,FIS,Jordan Ford,1:22.992,3
14,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:23.216,3
15,15,Justin Wilson,WIL,Jaguar Cosworth,1:23.484,3
16,9,Nick Heidfeld,HEI,Sauber Petronas,1:23.803,3
17,19,Jos Verstappen,VER,Minardi Cosworth,1:25.078,3
18,12,Zsolt Baumgartner,BAU,Jordan Ford,1:25.881,3
19,18,Nicolas Kiesa,KIE,Minardi Cosworth,1:26.778,3
20,8,Fernando Alonso,ALO,Renault,1:40.405,3
