Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:22.327,3
2,4,Ralf Schumacher,RSC,Williams BMW,1:22.341,3
3,2,Rubens Barrichello,BAR,Ferrari,1:22.557,3
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:22.789,3
5,14,Mark Webber,WEB,Jaguar Cosworth,1:23.015,3
6,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:23.148,3
7,16,Jacques Villeneuve,VIL,BAR Honda,1:23.160,3
8,8,Fernando Alonso,ALO,Renault,1:23.169,3
9,17,Jenson Button,BUT,BAR Honda,1:23.381,3
10,20,Olivier Panis,PAN,Toyota,1:23.460,3
11,9,Nick Heidfeld,HEI,Sauber Petronas,1:23.700,3
12,5,David Coulthard,COU,McLaren Mercedes,1:23.818,3
13,21,Cristiano da Matta,DAM,Toyota,1:23.838,4
14,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:23.932,3
15,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:24.147,3
16,7,Jarno Trulli,TRU,Renault,1:24.190,3
17,11,Giancarlo Fisichella,FIS,Jordan Ford,1:24.317,3
18,18,Justin Wilson,WIL,Minardi Cosworth,1:25.826,3
19,12,Ralph Firman,FIR,Jordan Ford,1:26.357,3
20,19,Jos Verstappen,VER,Minardi Cosworth,No Time,2
