Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:11.670,3
2,2,Rubens Barrichello,BAR,Ferrari,1:11.794,3
3,20,Olivier Panis,PAN,Toyota,1:11.920,3
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:11.948,3
5,4,Ralf Schumacher,RSC,Williams BMW,1:12.078,3
6,8,Fernando Alonso,ALO,Renault,1:12.087,3
7,1,Michael Schumacher,MSC,Ferrari,1:12.194,3
8,5,David Coulthard,COU,McLaren Mercedes,1:12.297,3
9,21,Cristiano da Matta,DAM,Toyota,1:12.326,3
10,7,Jarno Trulli,TRU,Renault,1:12.566,3
11,17,Jenson Button,BUT,BAR Honda,1:12.695,3
12,16,Jacques Villeneuve,VIL,BAR Honda,1:13.050,3
13,9,Nick Heidfeld,HEI,Sauber Petronas,1:13.083,3
14,14,Mark Webber,WEB,Jaguar Cosworth,1:13.269,3
15,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:13.447,3
16,15,Justin Wilson,WIL,Jaguar Cosworth,1:13.585,3
17,11,Giancarlo Fisichella,FIS,Jordan Ford,1:13.798,3
18,12,Ralph Firman,FIR,Jordan Ford,1:14.027,3
19,19,Jos Verstappen,VER,Minardi Cosworth,1:15.360,3
20,18,Nicolas Kiesa,KIE,Minardi Cosworth,1:15.644,3
