Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Fernando Alonso,ALO,Renault,1:37.044,3
2,7,Jarno Trulli,TRU,Renault,1:37.217,3
3,1,Michael Schumacher,MSC,Ferrari,1:37.393,3
4,5,David Coulthard,COU,McLaren Mercedes,1:37.454,3
5,2,Rubens Barrichello,BAR,Ferrari,1:37.579,3
6,9,Nick Heidfeld,HEI,Sauber Petronas,1:37.766,3
7,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:37.858,3
8,3,Juan Pablo Montoya,MOY,Williams BMW,1:37.974,3
9,17,Jenson Button,BUT,BAR Honda,1:38.073,3
10,20,Olivier Panis,PAN,Toyota,1:38.094,3
11,21,Cristiano da Matta,DAM,Toyota,1:38.097,3
12,16,Jacques Villeneuve,VIL,BAR Honda,1:38.289,3
13,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:38.291,3
14,11,Giancarlo Fisichella,FIS,Jordan Ford,1:38.416,3
15,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:38.516,3
16,14,Mark Webber,WEB,Jaguar Cosworth,1:38.624,3
17,4,Ralf Schumacher,RSC,Williams BMW,1:38.789,3
18,19,Jos Verstappen,VER,Minardi Cosworth,1:40.417,3
19,18,Justin Wilson,WIL,Minardi Cosworth,1:40.599,3
20,12,Ralph Firman,FIR,Jordan Ford,1:40.910,3
