Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Fernando Alonso,ALO,Renault,1:21.688,3
2,4,Ralf Schumacher,RSC,Williams BMW,1:21.944,3
3,14,Mark Webber,WEB,Jaguar Cosworth,1:22.027,3
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:22.180,3
5,2,Rubens Barrichello,BAR,Ferrari,1:22.180,3
6,7,Jarno Trulli,TRU,Renault,1:22.610,3
7,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:22.742,3
8,1,Michael Schumacher,MSC,Ferrari,1:22.755,3
9,5,David Coulthard,COU,McLaren Mercedes,1:23.060,3
10,20,Olivier Panis,PAN,Toyota,1:23.369,3
11,9,Nick Heidfeld,HEI,Sauber Petronas,1:23.621,3
12,15,Justin Wilson,WIL,Jaguar Cosworth,1:23.660,3
13,11,Giancarlo Fisichella,FIS,Jordan Ford,1:23.726,3
14,17,Jenson Button,BUT,BAR Honda,1:23.847,3
15,21,Cristiano da Matta,DAM,Toyota,1:23.982,3
16,16,Jacques Villeneuve,VIL,BAR Honda,1:24.100,3
17,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:24.569,3
18,19,Jos Verstappen,VER,Minardi Cosworth,1:26.423,3
19,12,Zsolt Baumgartner,BAU,Jordan Ford,1:26.678,3
20,18,Nicolas Kiesa,KIE,Minardi Cosworth,1:28.907,3
