Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,Ralf Schumacher,RSC,Williams BMW,1:15.259,3
2,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:15.295,3
3,3,Juan Pablo Montoya,MOY,Williams BMW,1:15.415,3
4,7,Jarno Trulli,TRU,Renault,1:15.500,3
5,1,Michael Schumacher,MSC,Ferrari,1:15.644,3
6,5,David Coulthard,COU,McLaren Mercedes,1:15.700,3
7,2,Rubens Barrichello,BAR,Ferrari,1:15.820,3
8,8,Fernando Alonso,ALO,Renault,1:15.884,3
9,14,Mark Webber,WEB,Jaguar Cosworth,1:16.237,3
10,21,Cristiano da Matta,DAM,Toyota,1:16.744,3
11,16,Jacques Villeneuve,VIL,BAR Honda,1:16.755,3
12,11,Giancarlo Fisichella,FIS,Jordan Ford,1:16.967,3
13,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:17.103,3
14,9,Nick Heidfeld,HEI,Sauber Petronas,1:17.176,3
15,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:17.402,3
16,12,Ralph Firman,FIR,Jordan Ford,1:17.452,3
17,20,Olivier Panis,PAN,Toyota,1:17.464,3
18,19,Jos Verstappen,VER,Minardi Cosworth,1:18.706,3
19,18,Justin Wilson,WIL,Minardi Cosworth,1:20.063,3
