Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:17.762,3
2,2,Rubens Barrichello,BAR,Ferrari,1:18.020,3
3,8,Fernando Alonso,ALO,Renault,1:18.233,3
4,7,Jarno Trulli,TRU,Renault,1:18.615,3
5,17,Jenson Button,BUT,BAR Honda,1:18.704,3
6,20,Olivier Panis,PAN,Toyota,1:18.811,3
7,4,Ralf Schumacher,RSC,Williams BMW,1:19.006,3
8,5,David Coulthard,COU,McLaren Mercedes,1:19.128,3
9,3,Juan Pablo Montoya,MOY,Williams BMW,1:19.377,3
10,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:19.427,3
11,16,Jacques Villeneuve,VIL,BAR Honda,1:19.563,3
12,14,Mark Webber,WEB,Jaguar Cosworth,1:19.615,3
13,21,Cristiano da Matta,DAM,Toyota,1:19.623,3
14,9,Nick Heidfeld,HEI,Sauber Petronas,1:19.646,3
15,12,Ralph Firman,FIR,Jordan Ford,1:20.215,3
16,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:20.308,3
17,11,Giancarlo Fisichella,FIS,Jordan Ford,1:20.976,3
18,18,Justin Wilson,WIL,Minardi Cosworth,1:22.104,3
19,19,Jos Verstappen,VER,Minardi Cosworth,1:22.237,3
20,6,Kimi Räikkönen,RAI,McLaren Mercedes,No Time,2
