Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:09.150,3
2,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:09.189,3
3,3,Juan Pablo Montoya,MOY,Williams BMW,1:09.391,3
4,9,Nick Heidfeld,HEI,Sauber Petronas,1:09.725,3
5,2,Rubens Barrichello,BAR,Ferrari,1:09.784,3
6,7,Jarno Trulli,TRU,Renault,1:09.890,3
7,17,Jenson Button,BUT,BAR Honda,1:09.935,3
8,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:10.045,3
9,11,Giancarlo Fisichella,FIS,Jordan Ford,1:10.105,3
10,4,Ralf Schumacher,RSC,Williams BMW,1:10.279,3
11,20,Olivier Panis,PAN,Toyota,1:10.402,3
12,16,Jacques Villeneuve,VIL,BAR Honda,1:10.618,3
13,21,Cristiano da Matta,DAM,Toyota,1:10.834,3
14,5,David Coulthard,COU,McLaren Mercedes,1:10.893,3
15,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:11.307,3
16,12,Ralph Firman,FIR,Jordan Ford,1:11.505,3
17,14,Mark Webber,WEB,Jaguar Cosworth,1:11.662,3
18,18,Justin Wilson,WIL,Minardi Cosworth,1:14.508,3
19,8,Fernando Alonso,ALO,Renault,1:20.113,3
20,19,Jos Verstappen,VER,Minardi Cosworth,No Time,2
