Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,Ralf Schumacher,RSC,Williams BMW,1:15.529,3
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:15.923,3
3,1,Michael Schumacher,MSC,Ferrari,1:16.047,3
4,8,Fernando Alonso,ALO,Renault,1:16.048,3
5,2,Rubens Barrichello,BAR,Ferrari,1:16.143,3
6,14,Mark Webber,WEB,Jaguar Cosworth,1:16.182,3
7,20,Olivier Panis,PAN,Toyota,1:16.598,3
8,7,Jarno Trulli,TRU,Renault,1:16.718,3
9,21,Cristiano da Matta,DAM,Toyota,1:16.826,3
10,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:16.939,3
11,5,David Coulthard,COU,McLaren Mercedes,1:17.024,3
12,9,Nick Heidfeld,HEI,Sauber Petronas,1:17.086,3
13,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:17.337,3
14,16,Jacques Villeneuve,VIL,BAR Honda,1:17.347,3
15,19,Jos Verstappen,VER,Minardi Cosworth,1:18.014,3
16,11,Giancarlo Fisichella,FIS,Jordan Ford,1:18.036,3
17,17,Jenson Button,BUT,BAR Honda,1:18.205,3
18,18,Justin Wilson,WIL,Minardi Cosworth,1:18.560,3
19,12,Ralph Firman,FIR,Jordan Ford,1:18.692,3
20,6,Kimi Räikkönen,RAI,McLaren Mercedes,No Time,2
