Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:08.082,10
2,5,Ralf Schumacher,RSC,Williams BMW,1:08.364,12
3,1,Michael Schumacher,MSC,Ferrari,1:08.704,10
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:09.118,12
5,7,Nick Heidfeld,HEI,Sauber Petronas,1:09.129,11
6,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:09.154,12
7,8,Felipe Massa,MAS,Sauber Petronas,1:09.228,10
8,3,David Coulthard,COU,McLaren Mercedes,1:09.335,12
9,12,Olivier Panis,PAN,BAR Honda,1:09.561,12
10,24,Mika Salo,SAL,Toyota,1:09.661,11
11,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:09.671,11
12,21,Enrique Bernoldi,BER,Arrows Cosworth,1:09.723,12
13,15,Jenson Button,BUT,Renault,1:09.780,11
14,25,Allan McNish,MCN,Toyota,1:09.818,12
15,9,Giancarlo Fisichella,FIS,Jordan Honda,1:09.901,12
16,14,Jarno Trulli,TRU,Renault,1:09.980,10
17,11,Jacques Villeneuve,VIL,BAR Honda,1:10.051,12
18,10,Takuma Sato,SAT,Jordan Honda,1:10.058,12
19,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:10.533,12
20,16,Eddie Irvine,IRV,Jaguar Cosworth,1:10.741,10
21,23,Mark Webber,WEB,Minardi Asiatech,1:11.388,10
22,22,Alex Yoong,YOO,Minardi Asiatech,1:12.336,12
