Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:18.998,9
2,2,Rubens Barrichello,BAR,Ferrari,1:19.032,11
3,1,Michael Schumacher,MSC,Ferrari,1:19.042,9
4,5,Ralf Schumacher,RSC,Williams BMW,1:19.329,9
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:20.133,11
6,3,David Coulthard,COU,McLaren Mercedes,1:20.315,11
7,14,Jarno Trulli,TRU,Renault,1:20.516,11
8,24,Mika Salo,SAL,Toyota,1:20.995,12
9,11,Jacques Villeneuve,VIL,BAR Honda,1:21.130,12
10,7,Nick Heidfeld,HEI,Sauber Petronas,1:21.187,12
11,8,Felipe Massa,MAS,Sauber Petronas,1:21.191,12
12,15,Jenson Button,BUT,Renault,1:21.247,11
13,12,Olivier Panis,PAN,BAR Honda,1:21.274,12
14,10,Takuma Sato,SAT,Jordan Honda,1:21.337,11
15,25,Allan McNish,MCN,Toyota,1:21.382,11
16,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:21.416,12
17,9,Giancarlo Fisichella,FIS,Jordan Honda,1:21.636,12
18,21,Enrique Bernoldi,BER,Arrows Cosworth,1:21.780,12
19,16,Eddie Irvine,IRV,Jaguar Cosworth,1:21.851,11
20,23,Mark Webber,WEB,Minardi Asiatech,1:22.281,11
21,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:23.422,6
NC,22,Alex Yoong,YOO,Minardi Asiatech,1:24.785,12
