Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:13.333,11
2,1,Michael Schumacher,MSC,Ferrari,1:13.392,9
3,5,Ralf Schumacher,RSC,Williams BMW,1:13.746,11
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:14.706,11
5,9,Giancarlo Fisichella,FIS,Jordan Honda,1:14.880,11
6,14,Jarno Trulli,TRU,Renault,1:14.980,12
7,8,Felipe Massa,MAS,Sauber Petronas,1:15.047,12
8,7,Nick Heidfeld,HEI,Sauber Petronas,1:15.129,12
9,15,Jenson Button,BUT,Renault,1:15.214,11
10,3,David Coulthard,COU,McLaren Mercedes,1:15.223,12
11,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:15.243,12
12,12,Olivier Panis,PAN,BAR Honda,1:15.556,11
13,11,Jacques Villeneuve,VIL,BAR Honda,1:15.583,11
14,10,Takuma Sato,SAT,Jordan Honda,1:15.804,11
15,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:15.867,12
16,16,Eddie Irvine,IRV,Jaguar Cosworth,1:16.419,10
17,24,Mika Salo,SAL,Toyota,1:16.473,11
18,25,Allan McNish,MCN,Toyota,1:16.626,11
19,23,Mark Webber,WEB,Minardi Asiatech,1:17.428,9
20,22,Anthony Davidson,DAV,Minardi Asiatech,1:17.959,11
