Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:10.790,11
2,2,Rubens Barrichello,BAR,Ferrari,1:11.058,12
3,3,David Coulthard,COU,McLaren Mercedes,1:11.413,12
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:11.414,11
5,5,Ralf Schumacher,RSC,Williams BMW,1:11.587,12
6,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:11.633,12
7,11,Jacques Villeneuve,VIL,BAR Honda,1:11.738,12
8,14,Jarno Trulli,TRU,Renault,1:11.888,12
9,9,Giancarlo Fisichella,FIS,Jordan Honda,1:11.902,12
10,7,Nick Heidfeld,HEI,Sauber Petronas,1:11.953,11
11,8,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:12.083,12
12,12,Olivier Panis,PAN,BAR Honda,1:12.161,9
13,16,Eddie Irvine,IRV,Jaguar Cosworth,1:12.282,10
14,15,Jenson Button,BUT,Renault,1:12.401,12
15,10,Takuma Sato,SAT,Jordan Honda,1:12.647,12
16,25,Allan McNish,MCN,Toyota,1:12.723,11
17,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:12.739,12
18,23,Mark Webber,WEB,Minardi Asiatech,1:13.128,12
19,24,Mika Salo,SAL,Toyota,1:13.213,11
20,22,Alex Yoong,YOO,Minardi Asiatech,1:13.809,5
