Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:31.317,9
2,2,Rubens Barrichello,BAR,Ferrari,1:31.749,12
3,3,David Coulthard,COU,McLaren Mercedes,1:32.088,12
4,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:32.197,10
5,5,Ralf Schumacher,RSC,Williams BMW,1:32.444,10
6,6,Juan Pablo Montoya,MOY,Williams BMW,1:32.507,10
7,10,Takuma Sato,SAT,Jordan Honda,1:33.090,12
8,9,Giancarlo Fisichella,FIS,Jordan Honda,1:33.276,12
9,11,Jacques Villeneuve,VIL,BAR Honda,1:33.349,11
10,15,Jenson Button,BUT,Renault,1:33.429,12
11,14,Jarno Trulli,TRU,Renault,1:33.547,8
12,7,Nick Heidfeld,HEI,Sauber Petronas,1:33.553,12
13,24,Mika Salo,SAL,Toyota,1:33.742,11
14,16,Eddie Irvine,IRV,Jaguar Cosworth,1:33.915,8
15,8,Felipe Massa,MAS,Sauber Petronas,1:33.979,11
16,12,Olivier Panis,PAN,BAR Honda,1:34.192,10
17,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:34.227,12
18,25,Allan McNish,MCN,Toyota,1:35.191,5
19,23,Mark Webber,WEB,Minardi Asiatech,1:35.958,11
20,22,Alex Yoong,YOO,Minardi Asiatech,1:36.267,12
