Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:20.264,11
2,1,Michael Schumacher,MSC,Ferrari,1:20.521,12
3,5,Ralf Schumacher,RSC,Williams BMW,1:20.542,12
4,2,Rubens Barrichello,BAR,Ferrari,1:20.706,12
5,16,Eddie Irvine,IRV,Jaguar Cosworth,1:21.606,12
6,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:21.712,9
7,3,David Coulthard,COU,McLaren Mercedes,1:21.803,12
8,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:21.960,12
9,11,Jacques Villeneuve,VIL,BAR Honda,1:22.126,11
10,24,Mika Salo,SAL,Toyota,1:22.318,12
11,14,Jarno Trulli,TRU,Renault,1:22.383,11
12,9,Giancarlo Fisichella,FIS,Jordan Honda,1:22.515,11
13,25,Allan McNish,MCN,Toyota,1:22.521,10
14,8,Felipe Massa,MAS,Sauber Petronas,1:22.565,12
15,7,Nick Heidfeld,HEI,Sauber Petronas,1:22.601,10
16,12,Olivier Panis,PAN,BAR Honda,1:22.645,10
17,15,Jenson Button,BUT,Renault,1:22.714,12
18,10,Takuma Sato,SAT,Jordan Honda,1:23.166,9
19,23,Mark Webber,WEB,Minardi Asiatech,1:23.794,11
20,22,Alex Yoong,YOO,Minardi Asiatech,1:25.111,12
