Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:14.389,11
2,5,Ralf Schumacher,RSC,Williams BMW,1:14.570,12
3,2,Rubens Barrichello,BAR,Ferrari,1:14.693,12
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:15.108,11
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:15.639,11
6,9,Giancarlo Fisichella,FIS,Jordan Honda,1:15.690,12
7,12,Olivier Panis,PAN,BAR Honda,1:15.851,12
8,14,Jarno Trulli,TRU,Renault,1:15.885,12
9,3,David Coulthard,COU,McLaren Mercedes,1:15.909,12
10,7,Nick Heidfeld,HEI,Sauber Petronas,1:15.990,12
11,11,Jacques Villeneuve,VIL,BAR Honda,1:16.070,11
12,10,Takuma Sato,SAT,Jordan Honda,1:16.072,12
13,15,Jenson Button,BUT,Renault,1:16.278,12
14,8,Felipe Massa,MAS,Sauber Petronas,1:16.351,11
15,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:16.505,12
16,16,Eddie Irvine,IRV,Jaguar Cosworth,1:16.533,12
17,25,Allan McNish,MCN,Toyota,1:16.594,12
18,21,Enrique Bernoldi,BER,Arrows Cosworth,1:16.645,12
19,24,Mika Salo,SAL,Toyota,1:16.685,11
20,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:17.077,12
21,23,Mark Webber,WEB,Minardi Asiatech,1:17.996,11
NC,22,Alex Yoong,YOO,Minardi Asiatech,1:19.775,12
