Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:29.906,11
2,5,Ralf Schumacher,RSC,Williams BMW,1:29.915,9
3,1,Michael Schumacher,MSC,Ferrari,1:30.035,10
4,2,Rubens Barrichello,BAR,Ferrari,1:30.387,12
5,3,David Coulthard,COU,McLaren Mercedes,1:30.550,12
6,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:30.591,12
7,14,Jarno Trulli,TRU,Renault,1:30.927,12
8,15,Jenson Button,BUT,Renault,1:31.136,12
9,7,Nick Heidfeld,HEI,Sauber Petronas,1:31.211,12
10,24,Mika Salo,SAL,Toyota,1:31.389,11
11,8,Felipe Massa,MAS,Sauber Petronas,1:31.733,12
12,12,Olivier Panis,PAN,BAR Honda,1:31.906,12
13,25,Allan McNish,MCN,Toyota,1:31.941,12
14,10,Takuma Sato,SAT,Jordan Honda,1:31.999,12
15,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:32.144,12
16,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:32.281,12
17,16,Eddie Irvine,IRV,Jaguar Cosworth,1:32.510,12
18,9,Giancarlo Fisichella,FIS,Jordan Honda,1:32.591,11
19,11,Jacques Villeneuve,VIL,BAR Honda,1:32.968,12
20,23,Mark Webber,WEB,Minardi Asiatech,1:32.996,12
21,21,Enrique Bernoldi,BER,Arrows Cosworth,1:33.360,11
22,22,Alex Yoong,YOO,Minardi Asiatech,1:34.251,11
