Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:21.091,12
2,2,Rubens Barrichello,BAR,Ferrari,1:21.155,8
3,5,Ralf Schumacher,RSC,Williams BMW,1:21.473,11
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:21.605,12
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:22.104,11
6,3,David Coulthard,COU,McLaren Mercedes,1:22.490,12
7,7,Nick Heidfeld,HEI,Sauber Petronas,1:22.767,12
8,14,Jarno Trulli,TRU,Renault,1:22.833,12
9,15,Jenson Button,BUT,Renault,1:22.857,12
10,11,Jacques Villeneuve,VIL,BAR Honda,1:23.116,11
11,8,Felipe Massa,MAS,Sauber Petronas,1:23.681,12
12,12,Olivier Panis,PAN,BAR Honda,1:23.821,12
13,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:23.862,12
14,10,Takuma Sato,SAT,Jordan Honda,1:24.050,10
15,9,Giancarlo Fisichella,FIS,Jordan Honda,1:24.253,11
16,24,Mika Salo,SAL,Toyota,1:24.328,12
17,25,Allan McNish,MCN,Toyota,1:24.331,12
18,16,Eddie Irvine,IRV,Jaguar Cosworth,1:24.579,12
19,23,Mark Webber,WEB,Minardi Asiatech,1:24.790,10
20,21,Enrique Bernoldi,BER,Arrows Cosworth,1:24.808,11
21,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:24.852,12
NC,22,Alex Yoong,YOO,Minardi Asiatech,1:27.241,11
