Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:16.676,12
2,3,David Coulthard,COU,McLaren Mercedes,1:17.068,11
3,1,Michael Schumacher,MSC,Ferrari,1:17.118,12
4,5,Ralf Schumacher,RSC,Williams BMW,1:17.274,12
5,2,Rubens Barrichello,BAR,Ferrari,1:17.357,11
6,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:17.660,11
7,14,Jarno Trulli,TRU,Renault,1:17.710,12
8,15,Jenson Button,BUT,Renault,1:18.132,12
9,24,Mika Salo,SAL,Toyota,1:18.234,12
10,25,Allan McNish,MCN,Toyota,1:18.292,12
11,9,Giancarlo Fisichella,FIS,Jordan Honda,1:18.342,12
12,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:18.607,12
13,8,Felipe Massa,MAS,Sauber Petronas,1:19.006,12
14,11,Jacques Villeneuve,VIL,BAR Honda,1:19.252,11
15,21,Enrique Bernoldi,BER,Arrows Cosworth,1:19.412,12
16,10,Takuma Sato,SAT,Jordan Honda,1:19.461,11
17,7,Nick Heidfeld,HEI,Sauber Petronas,1:19.500,12
18,12,Olivier Panis,PAN,BAR Honda,1:19.569,12
19,23,Mark Webber,WEB,Minardi Asiatech,1:19.674,8
20,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:19.796,12
21,16,Eddie Irvine,IRV,Jaguar Cosworth,1:20.139,11
22,22,Alex Yoong,YOO,Minardi Asiatech,1:21.599,9
