Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:35.266,9
2,6,Juan Pablo Montoya,MOY,Williams BMW,1:35.497,11
3,2,Rubens Barrichello,BAR,Ferrari,1:35.891,12
4,5,Ralf Schumacher,RSC,Williams BMW,1:36.028,12
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:36.468,11
6,3,David Coulthard,COU,McLaren Mercedes,1:36.477,12
7,7,Nick Heidfeld,HEI,Sauber Petronas,1:37.199,10
8,15,Jenson Button,BUT,Renault,1:37.245,9
9,9,Giancarlo Fisichella,FIS,Jordan Honda,1:37.536,12
10,24,Mika Salo,SAL,Toyota,1:37.694,11
11,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:37.919,12
12,14,Jarno Trulli,TRU,Renault,1:37.920,11
13,11,Jacques Villeneuve,VIL,BAR Honda,1:38.039,11
14,8,Felipe Massa,MAS,Sauber Petronas,1:38.057,10
15,10,Takuma Sato,SAT,Jordan Honda,1:38.141,11
16,21,Enrique Bernoldi,BER,Arrows Cosworth,1:38.284,10
17,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:38.374,12
18,12,Olivier Panis,PAN,BAR Honda,1:38.390,7
19,25,Allan McNish,MCN,Toyota,1:38.959,10
20,16,Eddie Irvine,IRV,Jaguar Cosworth,1:39.121,11
21,23,Mark Webber,WEB,Minardi Asiatech,1:39.454,12
22,22,Alex Yoong,YOO,Minardi Asiatech,1:40.158,12
