Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:25.843,9
2,1,Michael Schumacher,MSC,Ferrari,1:25.848,10
3,5,Ralf Schumacher,RSC,Williams BMW,1:26.279,3
4,3,David Coulthard,COU,McLaren Mercedes,1:26.446,6
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:27.161,7
6,6,Juan Pablo Montoya,MOY,Williams BMW,1:27.249,4
7,14,Jarno Trulli,TRU,Renault,1:27.710,6
8,9,Giancarlo Fisichella,FIS,Jordan Honda,1:27.869,9
9,8,Felipe Massa,MAS,Sauber Petronas,1:27.972,5
10,7,Nick Heidfeld,HEI,Sauber Petronas,1:28.232,5
11,15,Jenson Button,BUT,Renault,1:28.361,5
12,12,Olivier Panis,PAN,BAR Honda,1:28.381,4
13,11,Jacques Villeneuve,VIL,BAR Honda,1:28.657,6
14,24,Mika Salo,SAL,Toyota,1:29.205,5
15,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:29.474,3
16,25,Allan McNish,MCN,Toyota,1:29.636,5
17,21,Enrique Bernoldi,BER,Arrows Cosworth,1:29.738,4
18,23,Mark Webber,WEB,Minardi Asiatech,1:30.086,6
19,16,Eddie Irvine,IRV,Jaguar Cosworth,1:30.113,6
20,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:30.192,4
21,22,Alex Yoong,YOO,Minardi Asiatech,1:31.504,4
NC,10,Takuma Sato,SAT,Jordan Honda,1:53.351,7
