Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,5,Sebastian Vettel,VET,Ferrari,1:11.200,1:11.142,1:10.240,23
2,44,Lewis Hamilton,HAM,Mercedes,1:11.518,1:11.010,1:10.446,22
3,16,Charles Leclerc,LEC,Ferrari,1:11.214,1:11.205,1:10.920,23
4,3,Daniel Ricciardo,RIC,Renault,1:11.837,1:11.532,1:11.071,20
5,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:12.023,1:11.196,1:11.079,17
6,77,Valtteri Bottas,BOT,Mercedes,1:11.229,1:11.095,1:11.101,19
7,27,Nico Hulkenberg,HUL,Renault,1:11.720,1:11.553,1:11.324,21
8,4,Lando Norris,NOR,McLaren Renault,1:11.780,1:11.735,1:11.863,20
9,55,Carlos Sainz,SAI,McLaren Renault,1:11.750,1:11.572,1:13.981,19
10,20,Kevin Magnussen,MAG,Haas Ferrari,1:12.107,1:11.786,DNQ,15
11,33,Max Verstappen,VER,Red Bull Racing Honda,1:11.619,1:11.800,DNQ,12
12,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:11.965,1:11.921,DNQ,17
13,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:12.122,1:12.136,DNQ,16
14,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:12.020,1:12.193,DNQ,16
15,8,Romain Grosjean,GRO,Haas Ferrari,1:12.109,DNF,DNQ,15
16,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:12.197,DNQ,DNQ,6
17,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:12.230,DNQ,DNQ,10
18,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:12.266,DNQ,DNQ,9
19,63,George Russell,RUS,Williams Mercedes,1:13.617,DNQ,DNQ,10
20,88,Robert Kubica,KUB,Williams Mercedes,1:14.393,DNQ,DNQ,10
