Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:33.750,1:33.160,1:32.029,18
2,5,Sebastian Vettel,VET,Ferrari,1:33.766,1:32.782,1:32.041,17
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:33.549,1:33.120,1:32.096,16
4,16,Charles Leclerc,LEC,Ferrari,1:33.988,1:32.760,1:32.137,19
5,44,Lewis Hamilton,HAM,Mercedes,1:33.454,1:33.045,1:32.321,17
6,23,Alexander Albon,ALB,Red Bull Racing Honda,1:33.984,1:32.898,1:32.548,14
7,55,Carlos Sainz,SAI,McLaren Renault,1:33.916,1:33.422,1:32.847,15
8,4,Lando Norris,NOR,McLaren Renault,1:33.353,1:33.316,1:33.175,18
9,3,Daniel Ricciardo,RIC,Renault,1:33.835,1:33.608,1:33.488,15
10,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:33.556,1:33.715,1:33.601,19
11,27,Nico Hulkenberg,HUL,Renault,1:34.092,1:33.815,DNQ,12
12,20,Kevin Magnussen,MAG,Haas Ferrari,1:33.812,1:33.979,DNQ,12
13,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:34.138,1:33.989,DNQ,14
14,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:33.921,1:34.100,DNQ,14
15,8,Romain Grosjean,GRO,Haas Ferrari,1:34.161,1:34.158,DNQ,14
16,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:34.226,DNQ,DNQ,8
17,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:34.369,DNQ,DNQ,8
18,63,George Russell,RUS,Williams Mercedes,1:35.372,DNQ,DNQ,9
19,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:35.808,DNQ,DNQ,5
20,88,Robert Kubica,KUB,Williams Mercedes,1:35.889,DNQ,DNQ,9
