Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:15.817,1:15.573,1:14.572,16
2,77,Valtteri Bottas,BOT,Mercedes,1:16.078,1:15.669,1:14.590,19
3,44,Lewis Hamilton,HAM,Mercedes,1:16.068,1:15.548,1:14.769,22
4,16,Charles Leclerc,LEC,Ferrari,1:16.337,1:15.792,1:15.043,17
5,5,Sebastian Vettel,VET,Ferrari,1:16.452,1:15.885,1:15.071,18
6,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:16.716,1:16.393,1:15.450,19
7,4,Lando Norris,NOR,McLaren Renault,1:16.697,1:16.060,1:15.800,18
8,55,Carlos Sainz,SAI,McLaren Renault,1:16.493,1:16.308,1:15.852,20
9,8,Romain Grosjean,GRO,Haas Ferrari,1:16.978,1:16.319,1:16.013,21
10,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:16.506,1:16.518,1:16.041,20
11,27,Nico Hulkenberg,HUL,Renault,1:16.790,1:16.565,DNQ,12
12,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:16.912,1:16.687,DNQ,14
13,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:16.750,1:16.692,DNQ,14
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:16.894,1:16.804,DNQ,14
15,20,Kevin Magnussen,MAG,Haas Ferrari,1:16.122,1:17.081,DNQ,13
16,63,George Russell,RUS,Williams Mercedes,1:17.031,DNQ,DNQ,9
17,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:17.109,DNQ,DNQ,6
18,3,Daniel Ricciardo,RIC,Renault,1:17.257,DNQ,DNQ,6
19,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:17.542,DNQ,DNQ,9
20,88,Robert Kubica,KUB,Williams Mercedes,1:18.324,DNQ,DNQ,9
