Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:04.138,1:03.378,1:03.003,19
2,44,Lewis Hamilton,HAM,Mercedes,1:03.818,1:03.803,1:03.262,27
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:03.807,1:03.835,1:03.439,18
4,77,Valtteri Bottas,BOT,Mercedes,1:04.084,1:03.863,1:03.537,25
5,20,Kevin Magnussen,MAG,Haas Ferrari,1:04.778,1:04.466,1:04.072,20
6,4,Lando Norris,NOR,McLaren Renault,1:04.361,1:04.211,1:04.099,19
7,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:04.615,1:04.056,1:04.166,23
8,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:04.450,1:04.194,1:04.179,22
9,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:04.412,1:03.988,1:04.199,18
10,5,Sebastian Vettel,VET,Ferrari,1:04.340,1:03.667,DNQ,9
11,8,Romain Grosjean,GRO,Haas Ferrari,1:04.552,1:04.490,DNQ,18
12,27,Nico Hulkenberg,HUL,Renault,1:04.733,1:04.516,DNQ,12
13,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:04.708,1:04.665,DNQ,15
14,3,Daniel Ricciardo,RIC,Renault,1:04.647,1:04.790,DNQ,12
15,55,Carlos Sainz,SAI,McLaren Renault,1:04.453,1:13.601,DNQ,12
16,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:04.789,DNQ,DNQ,8
17,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:04.832,DNQ,DNQ,9
18,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:05.324,DNQ,DNQ,8
19,63,George Russell,RUS,Williams Mercedes,1:05.904,DNQ,DNQ,12
20,88,Robert Kubica,KUB,Williams Mercedes,1:06.206,DNQ,DNQ,11
