Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:32.658,1:31.728,1:31.547,16
2,44,Lewis Hamilton,HAM,Mercedes,1:33.115,1:31.637,1:31.570,16
3,5,Sebastian Vettel,VET,Ferrari,1:33.557,1:32.232,1:31.848,17
4,16,Charles Leclerc,LEC,Ferrari,1:32.712,1:32.324,1:31.865,16
5,33,Max Verstappen,VER,Red Bull Racing Honda,1:33.274,1:32.369,1:32.089,14
6,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:33.863,1:32.948,1:32.930,14
7,3,Daniel Ricciardo,RIC,Renault,1:33.709,1:33.214,1:32.958,18
8,27,Nico Hulkenberg,HUL,Renault,1:33.644,1:32.968,1:32.962,15
9,20,Kevin Magnussen,MAG,Haas Ferrari,1:34.036,1:33.150,DNF,16
10,8,Romain Grosjean,GRO,Haas Ferrari,1:33.752,1:33.156,DNF,15
11,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:33.783,1:33.236,DNQ,12
12,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:34.026,1:33.299,DNQ,12
13,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:34.125,1:33.419,DNQ,12
14,55,Carlos Sainz,SAI,McLaren Renault,1:33.686,1:33.523,DNQ,12
15,4,Lando Norris,NOR,McLaren Renault,1:34.148,1:33.967,DNQ,12
16,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:34.292,DNQ,DNQ,6
17,63,George Russell,RUS,Williams Mercedes,1:35.253,DNQ,DNQ,9
18,88,Robert Kubica,KUB,Williams Mercedes,1:35.281,DNQ,DNQ,9
NC,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,DNF,DNQ,DNQ,2
