Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,6,Jim Clark,CLA,Lotus Climax,80,2:08:13.700,9
2,18,Dan Gurney,GUR,Brabham Climax,79,+1 lap,6
3,2,John Surtees,SUR,Ferrari,79,+1 lap,4
4,30,Innes Ireland,IRE,BRP BRM,79,+1 lap,3
5,14,Richie Ginther,GIN,BRM,79,+1 lap,2
6,4,Ludovico Scarfiotti,SCA,Ferrari,78,+2 laps,1
7,36,Jo Siffert,SIF,Lotus BRM,77,+3 laps,0
8,42,Jim Hall,HAL,Lotus BRM,77,+3 laps,0
9,32,Carel Godin de Beaufort,DEB,Porsche,75,+5 laps,0
NC,12,Graham Hill,HIL,BRM,69,DNF,0
NC,16,Jack Brabham,BRA,Brabham Climax,68,DNF,0
10,8,Trevor Taylor,TAY,Lotus Climax,66,+14 laps,0
11,28,Jo Bonnier,BON,Cooper Climax,56,+24 laps,0
NC,10,Chris Amon,AMO,Lola Climax,29,DNF,0
NC,26,Giancarlo Baghetti,BAG,ATS,17,DNF,0
NC,24,Phil Hill,HIL,ATS,15,DNF,0
NC,22,Tony Maggs,MAG,Cooper Climax,14,DNF,0
NC,20,Bruce McLaren,MCL,Cooper Climax,7,DNF,0
NC,34,Gerhard Mitter,MIT,Porsche,2,DNF,0
