Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
monaco,26 May 1963,Graham Hill,HIL,BRM,100,2:41:49.700
belgium,09 Jun 1963,Jim Clark,CLA,Lotus Climax,32,2:27:47.600
netherlands,23 Jun 1963,Jim Clark,CLA,Lotus Climax,80,2:08:13.700
france,30 Jun 1963,Jim Clark,CLA,Lotus Climax,53,2:10:54.300
great-britain,20 Jul 1963,Jim Clark,CLA,Lotus Climax,82,2:14:09.600
germany,04 Aug 1963,John Surtees,SUR,Ferrari,15,2:13:06.800
italy,08 Sep 1963,Jim Clark,CLA,Lotus Climax,86,2:24:19.600
united-states,06 Oct 1963,Graham Hill,HIL,BRM,110,2:19:22.100
mexico,27 Oct 1963,Jim Clark,CLA,Lotus Climax,65,2:09:52.100
south-africa,28 Dec 1963,Jim Clark,CLA,Lotus Climax,85,2:10:36.900
