Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,11,Alain Prost,PRO,McLaren Honda,1:17.411
2,12,Ayrton Senna,SEN,McLaren Honda,1:17.869
3,16,Ivan Capelli,CAP,March Judd,1:18.812
4,28,Gerhard Berger,BER,Ferrari,1:18.903
5,15,Mauricio Gugelmin,GUG,March Judd,1:19.045
6,5,Nigel Mansell,MAN,Williams Judd,1:19.131
7,27,Michele Alboreto,ALB,Ferrari,1:19.372
8,1,Nelson Piquet,PIQ,Lotus Honda,1:19.551
9,19,Alessandro Nannini,NAN,Benetton Ford,1:19.572
10,17,Derek Warwick,WAR,Arrows Megatron,1:19.603
11,6,Riccardo Patrese,PAT,Williams Judd,1:19.797
12,22,Andrea de Cesaris,DEC,Rial Ford,1:19.940
13,20,Thierry Boutsen,BOU,Benetton Ford,1:20.314
14,23,Pierluigi Martini,MAR,Minardi Ford,1:20.741
15,29,Yannick Dalmas,DAL,Lola Ford,1:20.748
16,2,Satoru Nakajima,NAK,Lotus Honda,1:20.783
17,36,Alex Caffi,CAF,Dallara Ford,1:20.922
18,18,Eddie Cheever,CHE,Arrows Megatron,1:20.965
19,24,Luis Perez-Sala,PER,Minardi Ford,1:21.094
20,30,Philippe Alliot,ALL,Lola Ford,1:21.096
21,14,Philippe Streiff,STR,AGS Ford,1:21.418
22,3,Jonathan Palmer,PAL,Tyrrell Ford,1:21.788
23,25,Rene Arnoux,ARN,Ligier Judd,1:21.790
24,26,Stefan Johansson,JOH,Ligier Judd,1:22.035
25,21,Nicola Larini,LAR,Osella,1:22.119
26,31,Gabriele Tarquini,TAR,Coloni Ford,1:22.170
27,4,Julian Bailey,BAI,Tyrrell Ford,1:22.296
28,9,Piercarlo Ghinzani,GHI,Zakspeed,1:22.549
29,33,Stefano Modena,MOD,Euro Brun Ford,1:23.075
30,10,Bernd Schneider,SCH,Zakspeed,1:23.300
