Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:28.096
2,5,Nigel Mansell,MAN,Williams Judd,1:28.632
3,11,Alain Prost,PRO,McLaren Honda,1:28.782
4,28,Gerhard Berger,BER,Ferrari,1:29.026
5,1,Nelson Piquet,PIQ,Lotus Honda,1:30.087
6,27,Michele Alboreto,ALB,Ferrari,1:30.114
7,20,Thierry Boutsen,BOU,Benetton Ford,1:30.140
8,6,Riccardo Patrese,PAT,Williams Judd,1:30.439
9,16,Ivan Capelli,CAP,March Judd,1:30.929
10,2,Satoru Nakajima,NAK,Lotus Honda,1:31.280
11,17,Derek Warwick,WAR,Arrows Megatron,1:31.723
12,19,Alessandro Nannini,NAN,Benetton Ford,1:31.772
13,15,Mauricio Gugelmin,GUG,March Judd,1:31.833
14,22,Andrea de Cesaris,DEC,Rial Ford,1:32.275
15,18,Eddie Cheever,CHE,Arrows Megatron,1:32.843
16,30,Philippe Alliot,ALL,Lola Ford,1:32.933
17,29,Yannick Dalmas,DAL,Lola Ford,1:33.408
18,25,Rene Arnoux,ARN,Ligier Judd,1:34.474
19,14,Philippe Streiff,STR,AGS Ford,1:34.481
20,24,Luis Perez-Sala,PER,Minardi Ford,1:34.532
21,26,Stefan Johansson,JOH,Ligier Judd,1:34.579
22,3,Jonathan Palmer,PAL,Tyrrell Ford,1:34.686
23,23,Adrian Campos,CAM,Minardi Ford,1:34.886
24,33,Stefano Modena,MOD,Euro Brun Ford,1:34.910
25,31,Gabriele Tarquini,TAR,Coloni Ford,1:35.407
26,32,Oscar Larrauri,LAR,Euro Brun Ford,1:35.711
27,4,Julian Bailey,BAI,Tyrrell Ford,1:36.137
28,9,Piercarlo Ghinzani,GHI,Zakspeed,1:37.621
29,21,Nicola Larini,LAR,Osella,1:38.371
30,10,Bernd Schneider,SCH,Zakspeed,1:38.614
