Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:41.853
2,11,Alain Prost,PRO,McLaren Honda,1:42.177
3,28,Gerhard Berger,BER,Ferrari,1:43.353
4,16,Ivan Capelli,CAP,March Judd,1:43.605
5,1,Nelson Piquet,PIQ,Lotus Honda,1:43.693
6,2,Satoru Nakajima,NAK,Lotus Honda,1:43.693
7,17,Derek Warwick,WAR,Arrows Megatron,1:43.816
8,5,Nigel Mansell,MAN,Williams Judd,1:43.893
9,27,Michele Alboreto,ALB,Ferrari,1:43.972
10,20,Thierry Boutsen,BOU,Benetton Ford,1:44.499
11,6,Riccardo Patrese,PAT,Williams Judd,1:44.555
12,19,Alessandro Nannini,NAN,Benetton Ford,1:44.611
13,15,Mauricio Gugelmin,GUG,March Judd,1:45.138
14,22,Andrea de Cesaris,DEC,Rial Ford,1:45.558
15,18,Eddie Cheever,CHE,Arrows Megatron,1:45.845
16,3,Jonathan Palmer,PAL,Tyrrell Ford,1:45.916
17,23,Pierluigi Martini,MAR,Minardi Ford,1:46.449
18,14,Philippe Streiff,STR,AGS Ford,1:46.486
19,30,Philippe Alliot,ALL,Lola Ford,1:46.521
20,29,Aguri Suzuki,SUZ,Lola Ford,1:46.920
21,36,Alex Caffi,CAF,Dallara Ford,1:46.982
22,24,Luis Perez-Sala,PER,Minardi Ford,1:47.134
23,25,Rene Arnoux,ARN,Ligier Judd,1:47.193
24,21,Nicola Larini,LAR,Osella,1:47.547
25,10,Bernd Schneider,SCH,Zakspeed,1:47.599
26,4,Julian Bailey,BAI,Tyrrell Ford,1:48.589
27,26,Stefan Johansson,JOH,Ligier Judd,1:48.716
28,32,Oscar Larrauri,LAR,Euro Brun Ford,1:49.265
29,9,Piercarlo Ghinzani,GHI,Zakspeed,1:49.706
30,33,Stefano Modena,MOD,Euro Brun Ford,1:49.810
