Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:27.635
2,5,Nigel Mansell,MAN,Williams Judd,1:27.743
3,20,Thierry Boutsen,BOU,Benetton Ford,1:27.970
4,16,Ivan Capelli,CAP,March Judd,1:28.350
5,19,Alessandro Nannini,NAN,Benetton Ford,1:28.493
6,6,Riccardo Patrese,PAT,Williams Judd,1:28.569
7,11,Alain Prost,PRO,McLaren Honda,1:28.778
8,15,Mauricio Gugelmin,GUG,March Judd,1:29.099
9,28,Gerhard Berger,BER,Ferrari,1:29.244
10,36,Alex Caffi,CAF,Dallara Ford,1:29.891
11,24,Luis Perez-Sala,PER,Minardi Ford,1:30.103
12,17,Derek Warwick,WAR,Arrows Megatron,1:30.185
13,1,Nelson Piquet,PIQ,Lotus Honda,1:30.405
14,18,Eddie Cheever,CHE,Arrows Megatron,1:30.908
15,27,Michele Alboreto,ALB,Ferrari,1:31.052
16,23,Pierluigi Martini,MAR,Minardi Ford,1:31.123
17,29,Yannick Dalmas,DAL,Lola Ford,1:31.200
18,22,Andrea de Cesaris,DEC,Rial Ford,1:31.523
19,2,Satoru Nakajima,NAK,Lotus Honda,1:31.646
20,30,Philippe Alliot,ALL,Lola Ford,1:31.719
21,3,Jonathan Palmer,PAL,Tyrrell Ford,1:31.741
22,31,Gabriele Tarquini,TAR,Coloni Ford,1:32.160
23,14,Philippe Streiff,STR,AGS Ford,1:32.265
24,26,Stefan Johansson,JOH,Ligier Judd,1:32.342
25,25,Rene Arnoux,ARN,Ligier Judd,1:32.477
26,33,Stefano Modena,MOD,Euro Brun Ford,1:32.614
27,32,Oscar Larrauri,LAR,Euro Brun Ford,1:32.987
28,10,Bernd Schneider,SCH,Zakspeed,1:33.357
29,4,Julian Bailey,BAI,Tyrrell Ford,1:33.694
30,9,Piercarlo Ghinzani,GHI,Zakspeed,1:34.701
