Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:53.718
2,11,Alain Prost,PRO,McLaren Honda,1:54.128
3,28,Gerhard Berger,BER,Ferrari,1:54.581
4,27,Michele Alboreto,ALB,Ferrari,1:55.665
5,6,Riccardo Patrese,PAT,Williams Judd,1:57.138
6,20,Thierry Boutsen,BOU,Benetton Ford,1:57.455
7,19,Alessandro Nannini,NAN,Benetton Ford,1:57.535
8,2,Satoru Nakajima,NAK,Lotus Honda,1:57.616
9,1,Nelson Piquet,PIQ,Lotus Honda,1:57.821
10,17,Derek Warwick,WAR,Arrows Megatron,1:57.925
11,18,Eddie Cheever,CHE,Arrows Megatron,1:57.980
12,5,Martin Brundle,BRU,Williams Judd,1:58.206
13,15,Mauricio Gugelmin,GUG,March Judd,1:58.361
14,16,Ivan Capelli,CAP,March Judd,1:59.439
15,36,Alex Caffi,CAF,Dallara Ford,1:59.776
16,30,Philippe Alliot,ALL,Lola Ford,1:59.906
17,25,Rene Arnoux,ARN,Ligier Judd,2:00.037
18,14,Philippe Streiff,STR,AGS Ford,2:00.410
19,22,Andrea de Cesaris,DEC,Rial Ford,2:00.521
20,26,Stefan Johansson,JOH,Ligier Judd,2:00.857
21,3,Jonathan Palmer,PAL,Tyrrell Ford,2:01.078
22,31,Gabriele Tarquini,TAR,Coloni Ford,2:01.359
23,29,Yannick Dalmas,DAL,Lola Ford,2:01.467
24,9,Piercarlo Ghinzani,GHI,Zakspeed,2:01.899
25,10,Bernd Schneider,SCH,Zakspeed,2:01.938
26,21,Nicola Larini,LAR,Osella,2:02.029
27,24,Luis Perez-Sala,PER,Minardi Ford,2:02.129
28,23,Pierluigi Martini,MAR,Minardi Ford,2:02.314
29,33,Stefano Modena,MOD,Euro Brun Ford,2:02.322
30,4,Julian Bailey,BAI,Tyrrell Ford,2:02.519
