Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,28,Gerhard Berger,BER,Ferrari,1:10.133
2,27,Michele Alboreto,ALB,Ferrari,1:10.332
3,12,Ayrton Senna,SEN,McLaren Honda,1:10.616
4,11,Alain Prost,PRO,McLaren Honda,1:10.736
5,15,Mauricio Gugelmin,GUG,March Judd,1:11.745
6,16,Ivan Capelli,CAP,March Judd,1:12.006
7,1,Nelson Piquet,PIQ,Lotus Honda,1:12.040
8,19,Alessandro Nannini,NAN,Benetton Ford,1:12.737
9,17,Derek Warwick,WAR,Arrows Megatron,1:12.843
10,2,Satoru Nakajima,NAK,Lotus Honda,1:12.862
11,5,Nigel Mansell,MAN,Williams Judd,1:12.885
12,20,Thierry Boutsen,BOU,Benetton Ford,1:12.960
13,18,Eddie Cheever,CHE,Arrows Megatron,1:12.984
14,22,Andrea de Cesaris,DEC,Rial Ford,1:13.438
15,6,Riccardo Patrese,PAT,Williams Judd,1:13.677
16,14,Philippe Streiff,STR,AGS Ford,1:14.260
17,3,Jonathan Palmer,PAL,Tyrrell Ford,1:14.451
18,24,Luis Perez-Sala,PER,Minardi Ford,1:14.643
19,23,Pierluigi Martini,MAR,Minardi Ford,1:14.732
20,33,Stefano Modena,MOD,Euro Brun Ford,1:14.888
21,36,Alex Caffi,CAF,Dallara Ford,1:14.924
22,30,Philippe Alliot,ALL,Lola Ford,1:14.992
23,29,Yannick Dalmas,DAL,Lola Ford,1:15.004
24,4,Julian Bailey,BAI,Tyrrell Ford,1:15.135
25,25,Rene Arnoux,ARN,Ligier Judd,1:15.374
26,21,Nicola Larini,LAR,Osella,1:15.527
27,32,Oscar Larrauri,LAR,Euro Brun Ford,1:16.026
28,9,Piercarlo Ghinzani,GHI,Zakspeed,1:16.043
29,26,Stefan Johansson,JOH,Ligier Judd,1:16.110
30,10,Bernd Schneider,SCH,Zakspeed,1:18.010
