Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:46.391,3
2,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:46.440,3
3,6,Giancarlo Fisichella,FIS,Renault,1:46.497,3
4,16,Jarno Trulli,TRU,Toyota,1:46.596,3
5,5,Fernando Alonso,ALO,Renault,1:46.760,3
6,17,Ralf Schumacher,RSC,Toyota,1:47.401,3
7,1,Michael Schumacher,MSC,Ferrari,1:47.476,3
8,12,Felipe Massa,MAS,Sauber Petronas,1:47.867,3
9,3,Jenson Button,BUT,BAR Honda,1:47.978,3
10,7,Mark Webber,WEB,Williams BMW,1:48.071,3
11,4,Takuma Sato,SAT,BAR Honda,1:48.353,3
12,14,David Coulthard,COU,RBR Cosworth,1:48.508,3
13,2,Rubens Barrichello,BAR,Ferrari,1:48.550,3
14,11,Jacques Villeneuve,VIL,Sauber Petronas,1:48.889,3
15,8,Antonio Pizzonia,PIZ,Williams BMW,1:48.898,3
16,15,Christian Klien,KLI,RBR Cosworth,1:48.994,3
17,20,Robert Doornbos,DOO,Minardi Cosworth,1:49.779,3
18,21,Christijan Albers,ALB,Minardi Cosworth,1:49.842,3
19,18,Tiago Monteiro,MON,Jordan Toyota,1:51.498,3
20,19,Narain Karthikeyan,KAR,Jordan Toyota,1:51.675,3
