Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Giancarlo Fisichella,FIS,Renault,3:01.460,6
2,16,Jarno Trulli,TRU,Toyota,3:04.429,6
3,7,Mark Webber,WEB,Williams BMW,3:04.996,6
4,11,Jacques Villeneuve,VIL,Sauber Petronas,3:06.846,6
5,14,David Coulthard,COU,RBR Cosworth,3:07.212,6
6,15,Christian Klien,KLI,RBR Cosworth,3:07.477,6
7,8,Nick Heidfeld,HEI,Williams BMW,3:09.130,6
8,3,Jenson Button,BUT,BAR Honda,3:12.128,6
9,10,Juan Pablo Montoya,MOY,McLaren Mercedes,3:14.645,6
10,9,Kimi Räikkönen,RAI,McLaren Mercedes,3:15.558,6
11,2,Rubens Barrichello,BAR,Ferrari,3:16.822,6
12,19,Narain Karthikeyan,KAR,Jordan Toyota,3:17.092,6
13,5,Fernando Alonso,ALO,Renault,3:17.466,6
14,18,Tiago Monteiro,MON,Jordan Toyota,3:20.329,6
15,17,Ralf Schumacher,RSC,Toyota,3:22.717,6
16,20,Patrick Friesacher,FRI,Minardi Cosworth,3:28.363,6
17,21,Christijan Albers,ALB,Minardi Cosworth,1:49.230,3
18,1,Michael Schumacher,MSC,Ferrari,1:57.931,4
19,4,Takuma Sato,SAT,BAR Honda,No Time,2
20,12,Felipe Massa,MAS,Sauber Petronas,No Time,2
