Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Fernando Alonso,ALO,Renault,3:07.672,6
2,16,Jarno Trulli,TRU,Toyota,3:07.925,6
3,6,Giancarlo Fisichella,FIS,Renault,3:08.448,6
4,7,Mark Webber,WEB,Williams BMW,3:08.904,6
5,17,Ralf Schumacher,RSC,Toyota,3:09.007,6
6,9,Kimi Räikkönen,RAI,McLaren Mercedes,3:09.483,6
7,15,Christian Klien,KLI,RBR Cosworth,3:09.589,6
8,14,David Coulthard,COU,RBR Cosworth,3:09.700,6
9,3,Jenson Button,BUT,BAR Honda,3:09.832,6
10,8,Nick Heidfeld,HEI,Williams BMW,3:09.917,6
11,10,Juan Pablo Montoya,MOY,McLaren Mercedes,3:10.090,6
12,2,Rubens Barrichello,BAR,Ferrari,3:11.502,6
13,1,Michael Schumacher,MSC,Ferrari,3:11.633,6
14,12,Felipe Massa,MAS,Sauber Petronas,3:11.884,6
15,4,Anthony Davidson,DAV,BAR Honda,3:11.890,6
16,11,Jacques Villeneuve,VIL,Sauber Petronas,3:12.995,6
17,19,Narain Karthikeyan,KAR,Jordan Toyota,3:17.656,6
18,18,Tiago Monteiro,MON,Jordan Toyota,3:17.962,6
19,20,Patrick Friesacher,FRI,Minardi Cosworth,3:21.186,6
20,21,Christijan Albers,ALB,Minardi Cosworth,3:23.001,6
