Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Nick Heidfeld,HEI,Williams BMW,1:30.081,3
2,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:30.197,3
3,7,Mark Webber,WEB,Williams BMW,1:30.368,3
4,16,Jarno Trulli,TRU,Toyota,1:30.700,3
5,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:30.890,3
6,5,Fernando Alonso,ALO,Renault,1:31.056,3
7,2,Rubens Barrichello,BAR,Ferrari,1:31.249,3
8,17,Ralf Schumacher,RSC,Toyota,1:31.392,3
9,6,Giancarlo Fisichella,FIS,Renault,1:31.566,3
10,1,Michael Schumacher,MSC,Ferrari,1:31.585,3
11,12,Felipe Massa,MAS,Sauber Petronas,1:32.205,3
12,14,David Coulthard,COU,RBR Cosworth,1:32.553,3
13,3,Jenson Button,BUT,BAR Honda,1:32.594,3
14,15,Vitantonio Liuzzi,LIU,RBR Cosworth,1:32.642,3
15,11,Jacques Villeneuve,VIL,Sauber Petronas,1:32.891,3
16,4,Takuma Sato,SAT,BAR Honda,1:32.926,3
17,18,Tiago Monteiro,MON,Jordan Toyota,1:35.047,3
18,20,Patrick Friesacher,FRI,Minardi Cosworth,1:35.954,3
19,19,Narain Karthikeyan,KAR,Jordan Toyota,1:36.192,3
20,21,Christijan Albers,ALB,Minardi Cosworth,1:36.239,3
