Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,2:30.323,6
2,5,Fernando Alonso,ALO,Renault,2:30.406,6
3,7,Mark Webber,WEB,Williams BMW,2:31.656,6
4,6,Giancarlo Fisichella,FIS,Renault,2:32.100,6
5,16,Jarno Trulli,TRU,Toyota,2:32.590,6
6,8,Nick Heidfeld,HEI,Williams BMW,2:32.883,6
7,14,David Coulthard,COU,RBR Cosworth,2:33.867,6
8,1,Michael Schumacher,MSC,Ferrari,2:34.736,6
9,11,Jacques Villeneuve,VIL,Sauber Petronas,2:34.936,6
10,2,Rubens Barrichello,BAR,Ferrari,2:34.983,6
11,12,Felipe Massa,MAS,Sauber Petronas,2:35.120,6
12,15,Vitantonio Liuzzi,LIU,RBR Cosworth,2:37.152,6
13,20,Patrick Friesacher,FRI,Minardi Cosworth,2:40.810,6
14,21,Christijan Albers,ALB,Minardi Cosworth,2:42.206,6
15,18,Tiago Monteiro,MON,Jordan Toyota,2:43.078,6
16,19,Narain Karthikeyan,KAR,Jordan Toyota,2:43.442,6
17,17,Ralf Schumacher,RSC,Toyota,No Time,3
18,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:14.858,3
