Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jenson Button,BUT,BAR Honda,1:15.217,3
2,1,Michael Schumacher,MSC,Ferrari,1:15.475,3
3,5,Fernando Alonso,ALO,Renault,1:15.561,3
4,6,Giancarlo Fisichella,FIS,Renault,1:15.577,3
5,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:15.669,3
6,4,Takuma Sato,SAT,BAR Honda,1:15.729,3
7,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:15.923,3
8,11,Jacques Villeneuve,VIL,Sauber Petronas,1:16.116,3
9,16,Jarno Trulli,TRU,Toyota,1:16.201,3
10,17,Ralf Schumacher,RSC,Toyota,1:16.362,3
11,12,Felipe Massa,MAS,Sauber Petronas,1:16.661,3
12,14,David Coulthard,COU,RBR Cosworth,1:16.890,3
13,8,Nick Heidfeld,HEI,Williams BMW,1:17.081,3
14,7,Mark Webber,WEB,Williams BMW,1:17.749,3
15,21,Christijan Albers,ALB,Minardi Cosworth,1:18.214,3
16,15,Christian Klien,KLI,RBR Cosworth,1:18.249,3
17,19,Narain Karthikeyan,KAR,Jordan Toyota,1:18.664,3
18,18,Tiago Monteiro,MON,Jordan Toyota,1:19.034,3
19,20,Patrick Friesacher,FRI,Minardi Cosworth,1:19.574,3
20,2,Rubens Barrichello,BAR,Ferrari,No Time,1
