Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:14.320,3
2,3,Jenson Button,BUT,BAR Honda,1:14.759,3
3,5,Fernando Alonso,ALO,Renault,1:14.904,3
4,6,Giancarlo Fisichella,FIS,Renault,1:14.927,3
5,1,Michael Schumacher,MSC,Ferrari,1:15.006,3
6,7,Mark Webber,WEB,Williams BMW,1:15.070,3
7,8,Nick Heidfeld,HEI,Williams BMW,1:15.403,3
8,4,Takuma Sato,SAT,BAR Honda,1:15.501,3
9,16,Jarno Trulli,TRU,Toyota,1:15.532,3
10,15,Christian Klien,KLI,RBR Cosworth,1:15.635,3
11,14,David Coulthard,COU,RBR Cosworth,1:15.679,3
12,17,Ralf Schumacher,RSC,Toyota,1:15.689,3
13,12,Felipe Massa,MAS,Sauber Petronas,1:16.009,3
14,11,Jacques Villeneuve,VIL,Sauber Petronas,1:16.012,3
15,2,Rubens Barrichello,BAR,Ferrari,1:16.230,3
16,21,Christijan Albers,ALB,Minardi Cosworth,1:17.519,3
17,20,Robert Doornbos,DOO,Minardi Cosworth,1:18.313,3
18,18,Tiago Monteiro,MON,Jordan Toyota,1:18.599,3
19,10,Juan Pablo Montoya,MOY,McLaren Mercedes,No Time,2
20,19,Narain Karthikeyan,KAR,Jordan Toyota,No Time,2
