Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,2:31.421,6
2,7,Mark Webber,WEB,Williams BMW,2:31.668,6
3,5,Fernando Alonso,ALO,Renault,2:31.691,6
4,17,Ralf Schumacher,RSC,Toyota,2:31.917,6
5,16,Jarno Trulli,TRU,Toyota,2:31.995,6
6,6,Giancarlo Fisichella,FIS,Renault,2:32.830,6
7,10,Juan Pablo Montoya,MOY,McLaren Mercedes,2:33.472,6
8,1,Michael Schumacher,MSC,Ferrari,2:33.551,6
9,14,David Coulthard,COU,RBR Cosworth,2:34.168,6
10,12,Felipe Massa,MAS,Sauber Petronas,2:34.224,6
11,15,Vitantonio Liuzzi,LIU,RBR Cosworth,2:35.302,6
12,11,Jacques Villeneuve,VIL,Sauber Petronas,2:36.480,6
13,19,Narain Karthikeyan,KAR,Jordan Toyota,2:39.268,8
14,18,Tiago Monteiro,MON,Jordan Toyota,2:39.943,6
15,21,Christijan Albers,ALB,Minardi Cosworth,2:41.141,6
16,20,Patrick Friesacher,FRI,Minardi Cosworth,2:42.759,6
17,8,Nick Heidfeld,HEI,Williams BMW,1:15.038,3
18,2,Rubens Barrichello,BAR,Ferrari,1:15.746,3
