Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,13 Jan 1974,Denny Hulme,HUL,McLaren Ford,53,1:41:02.010
brazil,27 Jan 1974,Emerson Fittipaldi,FIT,McLaren Ford,32,1:24:37.060
south-africa,30 Mar 1974,Carlos Reutemann,REU,Brabham Ford,78,1:42:40.960
spain,28 Apr 1974,Niki Lauda,LAU,Ferrari,84,2:00:29.560
belgium,12 May 1974,Emerson Fittipaldi,FIT,McLaren Ford,85,1:44:20.570
monaco,26 May 1974,Ronnie Peterson,PET,Lotus Ford,78,1:58:03.700
sweden,09 Jun 1974,Jody Scheckter,SCH,Tyrrell Ford,80,1:58:31.391
netherlands,23 Jun 1974,Niki Lauda,LAU,Ferrari,75,1:43:00.350
france,07 Jul 1974,Ronnie Peterson,PET,Lotus Ford,80,1:21:55.020
great-britain,20 Jul 1974,Jody Scheckter,SCH,Tyrrell Ford,75,1:43:02.200
germany,04 Aug 1974,Clay Regazzoni,REG,Ferrari,14,1:41:35.000
austria,18 Aug 1974,Carlos Reutemann,REU,Brabham Ford,54,1:28:44.720
italy,08 Sep 1974,Ronnie Peterson,PET,Lotus Ford,52,1:22:56.600
canada,22 Sep 1974,Emerson Fittipaldi,FIT,McLaren Ford,80,1:40:26.136
united-states,06 Oct 1974,Carlos Reutemann,REU,Brabham Ford,59,1:40:21.439
