Position,Constructor,Points
1,FERRARI,128
2,MCLAREN MERCEDES,124
3,JORDAN MUGEN HONDA,61
4,STEWART FORD,36
5,WILLIAMS SUPERTEC,35
6,BENETTON PLAYLIFE,16
7,PROST PEUGEOT,9
8,SAUBER PETRONAS,5
9,MINARDI FORD,1
10,ARROWS,1
