Position,Constructor,Points
1,BENETTON RENAULT,137
2,WILLIAMS RENAULT,112
3,FERRARI,73
4,MCLAREN MERCEDES,30
5,LIGIER MUGEN HONDA,24
6,JORDAN PEUGEOT,21
7,SAUBER FORD,18
8,FOOTWORK HART,5
9,TYRRELL YAMAHA,5
10,MINARDI FORD,1
