Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,FERRARI,123
2,David Coulthard,GBR,MCLAREN MERCEDES,65
3,Rubens Barrichello,BRA,FERRARI,56
4,Ralf Schumacher,GER,WILLIAMS BMW,49
5,Mika Hakkinen,FIN,MCLAREN MERCEDES,37
6,Juan Pablo Montoya,COL,WILLIAMS BMW,31
7,Jacques Villeneuve,CAN,BAR HONDA,12
8,Nick Heidfeld,GER,SAUBER PETRONAS,12
9,Jarno Trulli,ITA,JORDAN HONDA,12
10,Kimi Räikkönen,FIN,SAUBER PETRONAS,9
11,Giancarlo Fisichella,ITA,BENETTON RENAULT,8
12,Eddie Irvine,GBR,JAGUAR COSWORTH,6
13,Heinz-Harald Frentzen,GER,PROST ACER,6
14,Olivier Panis,FRA,BAR HONDA,5
15,Jean Alesi,FRA,JORDAN HONDA,5
16,Pedro de la Rosa,ESP,JAGUAR COSWORTH,3
17,Jenson Button,GBR,BENETTON RENAULT,2
18,Jos Verstappen,NED,ARROWS ASIATECH,1
