Position,Constructor,Points
1,FERRARI,72.5
2,BRABHAM FORD,54
3,MCLAREN FORD,53
4,HESKETH FORD,33
5,TYRRELL FORD,25
6,SHADOW FORD,9.5
7,LOTUS FORD,9
8,MARCH FORD,7.5
9,FRANK WILLIAMS RACING CARS/WILLIAMS,6
10,PARNELLI FORD,5
11,HILL FORD,3
12,PENSKE FORD,2
13,ENSIGN FORD,1
