Position,Driver,Nationality,Constructor,Points
1,Jim Clark,GBR,LOTUS CLIMAX,54
2,Graham Hill,GBR,BRM,40
3,Jackie Stewart,GBR,BRM,33
4,Dan Gurney,USA,BRABHAM CLIMAX,25
5,John Surtees,GBR,FERRARI,17
6,Lorenzo Bandini,ITA,FERRARI,13
7,Richie Ginther,USA,HONDA,11
8,Mike Spence,GBR,LOTUS CLIMAX,10
8,Bruce McLaren,NZL,COOPER CLIMAX,10
10,Jack Brabham,AUS,BRABHAM CLIMAX,9
11,Denny Hulme,NZL,BRABHAM CLIMAX,5
11,Jo Siffert,SUI,BRABHAM BRM,5
13,Jochen Rindt,AUT,COOPER CLIMAX,4
14,Pedro Rodriguez,MEX,FERRARI,2
14,Ronnie Bucknum,USA,HONDA,2
14,Richard Attwood,GBR,LOTUS BRM,2
