Position,Driver,Nationality,Constructor,Points
1,Jim Clark,GBR,LOTUS CLIMAX,54
2,Graham Hill,GBR,BRM,29
2,Richie Ginther,USA,BRM,29
4,John Surtees,GBR,FERRARI,22
5,Dan Gurney,USA,BRABHAM CLIMAX,19
6,Bruce McLaren,NZL,COOPER CLIMAX,17
7,Jack Brabham,AUS,BRABHAM CLIMAX,14
8,Tony Maggs,RSA,COOPER CLIMAX,9
9,Innes Ireland,GBR,BRP BRM,6
9,Lorenzo Bandini,ITA,FERRARI,6
9,Jo Bonnier,SWE,COOPER CLIMAX,6
12,Gerhard Mitter,GER,PORSCHE,3
12,Jim Hall,USA,LOTUS BRM,3
14,Carel Godin de Beaufort,NED,PORSCHE,2
15,Trevor Taylor,GBR,LOTUS CLIMAX,1
15,Ludovico Scarfiotti,ITA,FERRARI,1
15,Jo Siffert,SUI,LOTUS BRM,1
18,Willy Mairesse,BEL,FERRARI,0
18,Maurice Trintignant,FRA,BRM,0
18,Tony Settember,USA,SCIROCCO BRM,0
18,Lucien Bianchi,BEL,LOLA CLIMAX,0
18,Phil Hill,USA,ATS,0
18,Giancarlo Baghetti,ITA,ATS,0
18,Chris Amon,NZL,LOTUS BRM,0
18,Masten Gregory,USA,NULL,0
18,Bob Anderson,GBR,LOLA CLIMAX,0
18,Ian Raby,GBR,GILBY BRM,0
18,John Campbell-Jones,GBR,LOLA CLIMAX,0
18,Ian Burgess,GBR,SCIROCCO BRM,0
18,Mike Hailwood,GBR,NULL,0
18,Mario de Araujo Cabral,POR,COOPER CLIMAX,0
18,Bernard Collomb,FRA,LOTUS CLIMAX,0
18,Mike Spence,GBR,LOTUS CLIMAX,0
18,Peter Broeker,CAN,STEBRO FORD,0
18,Rodger Ward,USA,LOTUS BRM,0
18,Pedro Rodriguez,MEX,LOTUS CLIMAX,0
18,Hap Sharp,USA,LOTUS BRM,0
18,Moises Solana,MEX,BRM,0
18,Doug Serrurier,RSA,LDS ALFA ROMEO,0
18,Trevor Blokdyk,RSA,COOPER MASERATI,0
18,Brausch Niemann,RSA,LOTUS FORD,0
18,John Love,RHO,COOPER CLIMAX,0
18,Ernie Pieterse,RSA,LOTUS CLIMAX,0
18,Peter de Klerk,RSA,ALFA ROMEO,0
18,Sam Tingle,RHO,LDS ALFA ROMEO,0
18,David Prophet,GBR,BRABHAM FORD,0
