Position,Constructor,Points
1,LOTUS CLIMAX,54
2,BRM,45
3,BRABHAM CLIMAX,27
4,FERRARI,26
5,COOPER CLIMAX,14
6,HONDA,11
7,BRABHAM BRM,5
8,LOTUS BRM,2
