Position,Constructor,Points
1,FERRARI,262
2,BAR HONDA,119
3,RENAULT,105
4,WILLIAMS BMW,88
5,MCLAREN MERCEDES,69
6,SAUBER PETRONAS,34
7,JAGUAR COSWORTH,10
8,TOYOTA,9
9,JORDAN FORD,5
10,MINARDI COSWORTH,1
