Position,Constructor,Points
1,LOTUS FORD,86
2,FERRARI,58
3,BRABHAM ALFA ROMEO,53
4,TYRRELL FORD,38
5,WOLF FORD,24
6,LIGIER MATRA,19
7,FITTIPALDI FORD,17
8,MCLAREN FORD,15
9,WILLIAMS FORD,11
10,ARROWS FORD,11
11,SHADOW FORD,6
12,RENAULT,3
13,SURTEES FORD,1
14,ENSIGN FORD,1
