Position,Constructor,Points
1,WILLIAMS HONDA,141
2,MCLAREN TAG,96
3,LOTUS RENAULT,58
4,FERRARI,37
5,LIGIER RENAULT,29
6,BENETTON BMW,19
7,TYRRELL RENAULT,11
8,LOLA FORD,6
9,BRABHAM BMW,2
10,ARROWS BMW,1
