Position,Constructor,Points
1,WILLIAMS RENAULT,175
2,FERRARI,70
3,BENETTON RENAULT,68
4,MCLAREN MERCEDES,49
5,JORDAN PEUGEOT,22
6,LIGIER MUGEN HONDA,15
7,SAUBER FORD,11
8,TYRRELL YAMAHA,5
9,FOOTWORK HART,1
