Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,FERRARI,108
2,Mika Hakkinen,FIN,MCLAREN MERCEDES,89
3,David Coulthard,GBR,MCLAREN MERCEDES,73
4,Rubens Barrichello,BRA,FERRARI,62
5,Ralf Schumacher,GER,WILLIAMS BMW,24
6,Giancarlo Fisichella,ITA,BENETTON PLAYLIFE,18
7,Jacques Villeneuve,CAN,BAR HONDA,17
8,Jenson Button,GBR,WILLIAMS BMW,12
9,Heinz-Harald Frentzen,GER,JORDAN MUGEN HONDA,11
10,Jarno Trulli,ITA,JORDAN MUGEN HONDA,6
11,Mika Salo,FIN,SAUBER PETRONAS,6
12,Jos Verstappen,NED,ARROWS SUPERTEC,5
13,Eddie Irvine,GBR,JAGUAR COSWORTH,4
14,Ricardo Zonta,BRA,BAR HONDA,3
15,Alexander Wurz,AUT,BENETTON PLAYLIFE,2
16,Pedro de la Rosa,ESP,ARROWS SUPERTEC,2
17,Pedro Diniz,BRA,SAUBER PETRONAS,0
18,Johnny Herbert,GBR,JAGUAR COSWORTH,0
19,Marc Gene,ESP,MINARDI FONDMETAL,0
20,Gaston Mazzacane,ARG,MINARDI FONDMETAL,0
21,Nick Heidfeld,GER,PROST PEUGEOT,0
22,Jean Alesi,FRA,PROST PEUGEOT,0
23,Luciano Burti,BRA,JAGUAR COSWORTH,0
