Position,Constructor,Points
1,MERCEDES,668
2,FERRARI,522
3,RED BULL RACING TAG HEUER,368
4,FORCE INDIA MERCEDES,187
5,WILLIAMS MERCEDES,83
6,RENAULT,57
7,TORO ROSSO,53
8,HAAS FERRARI,47
9,MCLAREN HONDA,30
10,SAUBER FERRARI,5
