Position,Constructor,Points
1,RED BULL RACING RENAULT,498
2,MCLAREN MERCEDES,454
3,FERRARI,396
4,MERCEDES,214
5,RENAULT,163
6,WILLIAMS COSWORTH,69
7,FORCE INDIA MERCEDES,68
8,SAUBER FERRARI,44
9,STR FERRARI,13
10,LOTUS COSWORTH,0
11,HRT COSWORTH,0
12,VIRGIN COSWORTH,0
