Position,Driver,Nationality,Constructor,Points
1,Jack Brabham,AUS,BRABHAM REPCO,42
2,John Surtees,GBR,COOPER MASERATI,28
3,Jochen Rindt,AUT,COOPER MASERATI,22
4,Denny Hulme,NZL,BRABHAM REPCO,18
5,Graham Hill,GBR,BRM,17
6,Jim Clark,GBR,LOTUS BRM,16
7,Jackie Stewart,GBR,BRM,14
8,Mike Parkes,GBR,FERRARI,12
8,Lorenzo Bandini,ITA,FERRARI,12
10,Ludovico Scarfiotti,ITA,FERRARI,9
11,Richie Ginther,USA,HONDA,5
12,Dan Gurney,USA,EAGLE CLIMAX,4
12,Mike Spence,GBR,LOTUS BRM,4
14,Bob Bondurant,USA,EAGLE WESLAKE,3
14,Jo Siffert,SUI,COOPER MASERATI,3
14,Bruce McLaren,NZL,MCLAREN FORD,3
17,John Taylor,GBR,BRABHAM BRM,1
17,Bob Anderson,GBR,BRABHAM CLIMAX,1
17,Peter Arundell,GBR,LOTUS BRM,1
17,Jo Bonnier,SWE,COOPER MASERATI,1
