Position,Constructor,Points
1,MCLAREN FORD,73
2,FERRARI,65
3,TYRRELL FORD,52
4,LOTUS FORD,42
5,BRABHAM FORD,35
6,HESKETH FORD,15
7,BRM,10
8,SHADOW FORD,7
9,MARCH FORD,6
10,ISO MARLBORO FORD,4
11,SURTEES FORD,3
12,LOLA FORD,1
