Position,Driver,Nationality,Constructor,Points
1,John Surtees,GBR,FERRARI,40
2,Graham Hill,GBR,BRM,39
3,Jim Clark,GBR,LOTUS CLIMAX,32
4,Lorenzo Bandini,ITA,FERRARI,23
4,Richie Ginther,USA,BRM,23
6,Dan Gurney,USA,BRABHAM CLIMAX,19
7,Bruce McLaren,NZL,COOPER CLIMAX,13
8,Peter Arundell,GBR,LOTUS CLIMAX,11
8,Jack Brabham,AUS,BRABHAM CLIMAX,11
10,Jo Siffert,SUI,BRABHAM BRM,7
11,Bob Anderson,GBR,BRABHAM CLIMAX,5
12,Tony Maggs,RSA,BRM,4
12,Mike Spence,GBR,LOTUS CLIMAX,4
12,Innes Ireland,GBR,BRP BRM,4
15,Jo Bonnier,SWE,BRABHAM CLIMAX,3
16,Chris Amon,NZL,LOTUS BRM,2
16,Maurice Trintignant,FRA,BRM,2
16,Walt Hansgen,USA,LOTUS CLIMAX,2
19,Mike Hailwood,GBR,LOTUS BRM,1
19,Phil Hill,USA,COOPER CLIMAX,1
19,Trevor Taylor,GBR,BRP BRM,1
19,Pedro Rodriguez,MEX,FERRARI,1
